date,cruelty_free_cosmetics,cruelty_free_makeup,cruelty_free_skincare,vegan_cosmetics,cosmetics,vegan,the_body_shop,lush,elf,month,year,week,season_2,season_3,season_4,CFC_Lag1,CFC_RollingMean_3,Save_Ralph_Campaign,cruelty_free_cosmetics_log
2020-03-15,14,12,15,29,50,52,48,33,10,3,2020,11,True,False,False,22.0,20.0,0,2.70805020110221
2020-03-22,12,13,15,39,49,55,51,34,11,3,2020,12,True,False,False,14.0,16.0,0,2.5649493574615367
2020-03-29,20,19,23,37,57,63,57,37,17,3,2020,13,True,False,False,12.0,15.333333333333334,0,3.044522437723423
2020-04-05,20,18,16,37,62,68,54,40,16,4,2020,14,True,False,False,20.0,17.333333333333332,0,3.044522437723423
2020-04-12,23,19,28,50,63,67,56,43,20,4,2020,15,True,False,False,20.0,21.0,0,3.1780538303479458
2020-04-19,25,22,29,47,68,65,58,43,23,4,2020,16,True,False,False,23.0,22.666666666666668,0,3.258096538021482
2020-04-26,22,22,30,40,69,68,67,44,19,4,2020,17,True,False,False,25.0,23.333333333333332,0,3.1354942159291497
2020-05-03,23,19,25,48,65,63,66,43,19,5,2020,18,True,False,False,22.0,23.333333333333332,0,3.1780538303479458
2020-05-10,23,22,23,50,68,67,74,40,13,5,2020,19,True,False,False,23.0,22.666666666666668,0,3.1780538303479458
2020-05-17,24,21,24,51,74,68,72,40,21,5,2020,20,True,False,False,23.0,23.333333333333332,0,3.2188758248682006
2020-05-24,22,20,21,39,65,66,73,37,17,5,2020,21,True,False,False,24.0,23.0,0,3.1354942159291497
2020-05-31,20,17,21,44,62,64,72,37,18,5,2020,22,True,False,False,22.0,22.0,0,3.044522437723423
2020-06-07,20,18,21,44,62,65,74,38,16,6,2020,23,False,True,False,20.0,20.666666666666668,0,3.044522437723423
2020-06-14,21,18,21,41,67,63,76,34,18,6,2020,24,False,True,False,20.0,20.333333333333332,0,3.091042453358316
2020-06-21,16,18,29,42,67,65,76,35,20,6,2020,25,False,True,False,21.0,19.0,0,2.833213344056216
2020-06-28,18,19,21,50,67,64,74,36,22,6,2020,26,False,True,False,16.0,18.333333333333332,0,2.9444389791664403
2020-07-05,22,22,26,39,67,63,70,34,20,7,2020,27,False,True,False,18.0,18.666666666666668,0,3.1354942159291497
2020-07-12,24,22,26,45,67,68,69,34,23,7,2020,28,False,True,False,22.0,21.333333333333332,0,3.2188758248682006
2020-07-19,22,20,26,44,62,66,65,33,21,7,2020,29,False,True,False,24.0,22.666666666666668,0,3.1354942159291497
2020-07-26,20,19,27,41,59,68,65,34,29,7,2020,30,False,True,False,22.0,22.0,0,3.044522437723423
2020-08-02,19,19,29,38,58,67,64,35,27,8,2020,31,False,True,False,20.0,20.333333333333332,0,2.995732273553991
2020-08-09,16,15,15,43,57,66,61,34,16,8,2020,32,False,True,False,19.0,18.333333333333332,0,2.833213344056216
2020-08-16,19,15,21,48,60,65,63,35,21,8,2020,33,False,True,False,16.0,18.0,0,2.995732273553991
2020-08-23,16,17,21,42,57,67,60,34,20,8,2020,34,False,True,False,19.0,17.0,0,2.833213344056216
2020-08-30,21,16,25,35,59,63,63,34,21,8,2020,35,False,True,False,16.0,18.666666666666668,0,3.091042453358316
2020-09-06,18,17,21,50,59,64,62,35,21,9,2020,36,False,False,True,21.0,18.333333333333332,0,2.9444389791664403
2020-09-13,20,14,23,36,58,63,61,33,21,9,2020,37,False,False,True,18.0,19.666666666666668,0,3.044522437723423
2020-09-20,17,16,22,34,58,59,58,36,21,9,2020,38,False,False,True,20.0,18.333333333333332,0,2.8903717578961645
2020-09-27,16,15,20,38,57,59,64,35,22,9,2020,39,False,False,True,17.0,17.666666666666668,0,2.833213344056216
2020-10-04,17,16,21,38,57,59,61,37,22,10,2020,40,False,False,True,16.0,16.666666666666668,0,2.8903717578961645
2020-10-11,16,14,19,37,61,62,62,35,23,10,2020,41,False,False,True,17.0,16.333333333333332,0,2.833213344056216
2020-10-18,18,18,16,42,63,60,62,39,20,10,2020,42,False,False,True,16.0,17.0,0,2.9444389791664403
2020-10-25,17,16,23,33,57,57,64,40,21,10,2020,43,False,False,True,18.0,17.0,0,2.8903717578961645
2020-11-01,17,17,15,39,57,54,68,44,21,11,2020,44,False,False,True,17.0,17.333333333333332,0,2.8903717578961645
2020-11-08,19,18,20,34,72,62,78,48,27,11,2020,45,False,False,True,17.0,17.666666666666668,0,2.995732273553991
2020-11-15,19,20,25,47,82,60,83,51,21,11,2020,46,False,False,True,19.0,18.333333333333332,0,2.995732273553991
2020-11-22,22,20,27,46,90,62,96,60,27,11,2020,47,False,False,True,19.0,20.0,0,3.1354942159291497
2020-11-29,20,18,26,42,72,59,89,62,27,11,2020,48,False,False,True,22.0,20.333333333333332,0,3.044522437723423
2020-12-06,16,17,20,44,68,56,79,63,28,12,2020,49,False,False,False,20.0,19.333333333333332,0,2.833213344056216
2020-12-13,17,16,20,38,66,62,82,67,32,12,2020,50,False,False,False,16.0,17.666666666666668,0,2.8903717578961645
2020-12-20,15,15,19,39,60,69,72,76,21,12,2020,51,False,False,False,17.0,16.0,0,2.772588722239781
2020-12-27,17,17,28,39,67,66,69,74,38,12,2020,52,False,False,False,15.0,16.333333333333332,0,2.8903717578961645
2021-01-03,17,14,16,35,59,64,59,50,39,1,2021,53,False,False,False,17.0,16.333333333333332,0,2.8903717578961645
2021-01-10,16,14,22,36,63,65,57,41,31,1,2021,1,False,False,False,17.0,16.666666666666668,0,2.833213344056216
2021-01-17,15,14,26,39,59,64,58,41,23,1,2021,2,False,False,False,16.0,16.0,0,2.772588722239781
2021-01-24,14,14,31,39,60,62,59,38,31,1,2021,3,False,False,False,15.0,15.0,0,2.70805020110221
2021-01-31,16,16,24,37,60,63,57,41,26,1,2021,4,False,False,False,14.0,15.0,0,2.833213344056216
2021-02-07,15,12,26,36,60,65,52,39,26,2,2021,5,False,False,False,16.0,15.0,0,2.772588722239781
2021-02-14,16,14,22,30,58,62,51,39,24,2,2021,6,False,False,False,15.0,15.666666666666666,0,2.833213344056216
2021-02-21,13,14,24,34,64,62,53,37,26,2,2021,7,False,False,False,16.0,14.666666666666666,0,2.6390573296152584
2021-02-28,17,15,27,33,60,60,51,37,26,2,2021,8,False,False,False,13.0,15.333333333333334,0,2.8903717578961645
2021-03-07,14,12,24,33,59,58,50,34,30,3,2021,9,True,False,False,17.0,14.666666666666666,0,2.70805020110221
2021-03-14,17,14,22,36,59,57,48,33,26,3,2021,10,True,False,False,14.0,16.0,0,2.8903717578961645
2021-03-21,17,15,23,30,57,59,50,32,25,3,2021,11,True,False,False,17.0,16.0,0,2.8903717578961645
2021-03-28,16,17,21,41,57,66,49,33,29,3,2021,12,True,False,False,17.0,16.666666666666668,0,2.833213344056216
2021-04-04,21,20,29,38,58,59,48,31,25,4,2021,13,True,False,False,16.0,18.0,0,3.091042453358316
2021-04-11,67,48,53,45,59,59,44,30,24,4,2021,14,True,False,False,21.0,34.666666666666664,1,4.219507705176107
2021-04-18,100,100,100,45,61,60,47,31,32,4,2021,15,True,False,False,67.0,62.666666666666664,1,4.61512051684126
2021-04-25,38,43,63,33,57,57,47,30,25,4,2021,16,True,False,False,100.0,68.33333333333333,1,3.6635616461296463
2021-05-02,27,28,38,24,53,62,48,34,17,5,2021,17,True,False,False,38.0,55.0,1,3.332204510175204
2021-05-09,28,26,37,37,55,58,44,29,25,5,2021,18,True,False,False,27.0,31.0,1,3.367295829986474
2021-05-16,21,23,33,30,52,55,43,28,20,5,2021,19,True,False,False,28.0,25.333333333333332,1,3.091042453358316
2021-05-23,22,19,32,30,54,56,43,28,20,5,2021,20,True,False,False,21.0,23.666666666666668,1,3.1354942159291497
2021-05-30,18,22,27,31,54,56,42,27,15,5,2021,21,True,False,False,22.0,20.333333333333332,1,2.9444389791664403
2021-06-06,19,18,30,33,51,54,42,29,21,6,2021,22,False,True,False,18.0,19.666666666666668,0,2.995732273553991
2021-06-13,19,18,24,31,54,61,43,30,21,6,2021,23,False,True,False,19.0,18.666666666666668,0,2.995732273553991
2021-06-20,17,16,24,28,52,55,42,30,20,6,2021,24,False,True,False,19.0,18.333333333333332,0,2.8903717578961645
2021-06-27,20,17,22,34,51,58,43,28,23,6,2021,25,False,True,False,17.0,18.666666666666668,0,3.044522437723423
2021-07-04,21,18,24,30,65,57,40,27,18,7,2021,26,False,True,False,20.0,19.333333333333332,0,3.091042453358316
2021-07-11,19,15,20,37,78,58,40,31,18,7,2021,27,False,True,False,21.0,20.0,0,2.995732273553991
2021-07-18,22,15,31,32,75,59,40,29,21,7,2021,28,False,True,False,19.0,20.666666666666668,0,3.1354942159291497
2021-07-25,14,17,26,33,71,56,42,26,21,7,2021,29,False,True,False,22.0,18.333333333333332,0,2.70805020110221
2021-08-01,19,14,29,31,68,58,36,27,18,8,2021,30,False,True,False,14.0,18.333333333333332,0,2.995732273553991
2021-08-08,15,14,23,33,70,58,38,28,17,8,2021,31,False,True,False,19.0,16.0,0,2.772588722239781
2021-08-15,16,14,23,28,69,57,39,27,19,8,2021,32,False,True,False,15.0,16.666666666666668,0,2.833213344056216
2021-08-22,12,13,27,32,67,58,37,28,20,8,2021,33,False,True,False,16.0,14.333333333333334,0,2.5649493574615367
2021-08-29,15,14,23,29,73,56,41,28,20,8,2021,34,False,True,False,12.0,14.333333333333334,0,2.772588722239781
2021-09-05,17,13,20,31,72,54,39,30,20,9,2021,35,False,False,True,15.0,14.666666666666666,0,2.8903717578961645
2021-09-12,11,12,15,32,71,53,38,30,18,9,2021,36,False,False,True,17.0,14.333333333333334,0,2.4849066497880004
2021-09-19,14,14,18,30,67,54,38,33,27,9,2021,37,False,False,True,11.0,14.0,0,2.70805020110221
2021-09-26,15,15,19,26,70,56,39,30,23,9,2021,38,False,False,True,14.0,13.333333333333334,0,2.772588722239781
2021-10-03,16,14,20,33,74,56,39,30,21,10,2021,39,False,False,True,15.0,15.0,0,2.833213344056216
2021-10-10,15,13,20,32,73,55,40,29,19,10,2021,40,False,False,True,16.0,15.333333333333334,0,2.772588722239781
2021-10-17,16,18,25,100,71,57,39,30,22,10,2021,41,False,False,True,15.0,15.666666666666666,0,2.833213344056216
2021-10-24,17,17,26,28,70,56,38,32,22,10,2021,42,False,False,True,16.0,16.0,0,2.8903717578961645
2021-10-31,16,16,14,31,72,58,43,32,28,10,2021,43,False,False,True,17.0,16.333333333333332,0,2.833213344056216
2021-11-07,16,19,25,32,81,57,46,39,25,11,2021,44,False,False,True,16.0,16.333333333333332,0,2.833213344056216
2021-11-14,14,16,22,33,76,60,49,39,28,11,2021,45,False,False,True,16.0,15.333333333333334,0,2.70805020110221
2021-11-21,20,18,24,42,98,61,58,57,42,11,2021,46,False,False,True,14.0,16.666666666666668,0,3.044522437723423
2021-11-28,12,16,20,32,82,56,58,52,35,11,2021,47,False,False,True,20.0,15.333333333333334,0,2.5649493574615367
2021-12-05,15,14,20,31,73,60,54,53,36,12,2021,48,False,False,False,12.0,15.666666666666666,0,2.772588722239781
2021-12-12,14,15,28,33,72,60,56,59,33,12,2021,49,False,False,False,15.0,13.666666666666666,0,2.70805020110221
2021-12-19,13,16,22,37,73,67,54,65,39,12,2021,50,False,False,False,14.0,14.0,0,2.6390573296152584
2021-12-26,18,15,22,35,76,61,51,71,37,12,2021,51,False,False,False,13.0,15.0,0,2.9444389791664403
2022-01-02,15,17,26,34,66,66,40,40,42,1,2022,52,False,False,False,18.0,15.333333333333334,0,2.772588722239781
2022-01-09,15,14,22,29,70,63,35,33,29,1,2022,1,False,False,False,15.0,16.0,0,2.772588722239781
2022-01-16,13,12,23,25,65,56,31,29,26,1,2022,2,False,False,False,15.0,14.333333333333334,0,2.6390573296152584
2022-01-23,15,17,21,34,70,57,31,28,21,1,2022,3,False,False,False,13.0,14.333333333333334,0,2.772588722239781
2022-01-30,18,15,19,40,78,59,31,28,30,1,2022,4,False,False,False,15.0,15.333333333333334,0,2.9444389791664403
2022-02-06,19,12,23,33,75,59,32,29,21,2,2022,5,False,False,False,18.0,17.333333333333332,0,2.995732273553991
2022-02-13,16,13,22,34,70,58,29,28,25,2,2022,6,False,False,False,19.0,17.666666666666668,0,2.833213344056216
2022-02-20,16,14,18,34,65,52,29,23,28,2,2022,7,False,False,False,16.0,17.0,0,2.833213344056216
2022-02-27,15,12,18,35,67,53,29,22,20,2,2022,8,False,False,False,16.0,15.666666666666666,0,2.772588722239781
2022-03-06,16,14,15,34,68,55,28,23,21,3,2022,9,True,False,False,15.0,15.666666666666666,0,2.833213344056216
2022-03-13,14,12,18,34,63,61,28,28,30,3,2022,10,True,False,False,16.0,15.0,0,2.70805020110221
2022-03-20,16,12,22,33,69,63,29,28,33,3,2022,11,True,False,False,14.0,15.333333333333334,0,2.833213344056216
2022-03-27,18,14,17,34,66,58,27,26,36,3,2022,12,True,False,False,16.0,16.0,0,2.9444389791664403
2022-04-03,17,12,21,29,64,61,29,26,33,4,2022,13,True,False,False,18.0,17.0,0,2.8903717578961645
2022-04-10,16,14,22,30,62,65,30,26,30,4,2022,14,True,False,False,17.0,17.0,0,2.833213344056216
2022-04-17,16,13,24,31,67,57,29,24,27,4,2022,15,True,False,False,16.0,16.333333333333332,0,2.833213344056216
2022-04-24,19,15,18,33,71,56,32,25,30,4,2022,16,True,False,False,16.0,17.0,0,2.995732273553991
2022-05-01,17,10,18,29,67,54,30,25,23,5,2022,17,True,False,False,19.0,17.333333333333332,0,2.8903717578961645
2022-05-08,12,12,16,34,63,56,30,23,27,5,2022,18,True,False,False,17.0,16.0,0,2.5649493574615367
2022-05-15,15,12,20,31,63,48,30,23,24,5,2022,19,True,False,False,12.0,14.666666666666666,0,2.772588722239781
2022-05-22,15,13,16,32,64,51,29,22,24,5,2022,20,True,False,False,15.0,14.0,0,2.772588722239781
2022-05-29,14,13,15,26,64,52,28,22,20,5,2022,21,True,False,False,15.0,14.666666666666666,0,2.70805020110221
2022-06-05,14,13,19,23,61,50,29,22,38,6,2022,22,False,True,False,14.0,14.333333333333334,0,2.70805020110221
2022-06-12,16,12,19,27,63,51,30,22,28,6,2022,23,False,True,False,14.0,14.666666666666666,0,2.833213344056216
2022-06-19,15,14,22,28,62,52,32,22,21,6,2022,24,False,True,False,16.0,15.0,0,2.772588722239781
2022-06-26,13,13,17,25,64,51,31,22,24,6,2022,25,False,True,False,15.0,14.666666666666666,0,2.6390573296152584
2022-07-03,13,12,19,30,66,51,32,26,27,7,2022,26,False,True,False,13.0,13.666666666666666,0,2.6390573296152584
2022-07-10,16,12,18,30,66,52,32,28,31,7,2022,27,False,True,False,13.0,14.0,0,2.833213344056216
2022-07-17,12,11,17,29,64,52,30,26,35,7,2022,28,False,True,False,16.0,13.666666666666666,0,2.5649493574615367
2022-07-24,16,13,20,26,63,52,29,25,43,7,2022,29,False,True,False,12.0,14.666666666666666,0,2.833213344056216
2022-07-31,15,12,20,23,66,51,30,24,33,7,2022,30,False,True,False,16.0,14.333333333333334,0,2.772588722239781
2022-08-07,17,12,24,28,73,52,29,25,32,8,2022,31,False,True,False,15.0,16.0,0,2.8903717578961645
2022-08-14,11,10,21,23,66,52,32,24,34,8,2022,32,False,True,False,17.0,14.333333333333334,0,2.4849066497880004
2022-08-21,14,10,20,15,63,51,30,25,37,8,2022,33,False,True,False,11.0,14.0,0,2.70805020110221
2022-08-28,14,9,18,25,63,51,29,23,38,8,2022,34,False,True,False,14.0,13.0,0,2.70805020110221
2022-09-04,9,9,16,20,62,50,27,23,29,9,2022,35,False,False,True,14.0,12.333333333333334,0,2.302585092994046
2022-09-11,13,10,15,24,70,48,28,24,32,9,2022,36,False,False,True,9.0,12.0,0,2.6390573296152584
2022-09-18,12,10,12,27,64,51,29,29,32,9,2022,37,False,False,True,13.0,11.333333333333334,0,2.5649493574615367
2022-09-25,10,10,16,27,63,49,33,30,31,9,2022,38,False,False,True,12.0,11.666666666666666,0,2.3978952727983707
2022-10-02,10,10,10,26,64,48,30,27,31,10,2022,39,False,False,True,10.0,10.666666666666666,0,2.3978952727983707
2022-10-09,12,11,13,22,66,51,31,26,28,10,2022,40,False,False,True,10.0,10.666666666666666,0,2.5649493574615367
2022-10-16,11,10,18,24,61,47,29,26,33,10,2022,41,False,False,True,12.0,11.0,0,2.4849066497880004
2022-10-23,11,11,18,29,62,49,32,26,33,10,2022,42,False,False,True,11.0,11.333333333333334,0,2.4849066497880004
2022-10-30,13,11,14,27,67,51,32,26,27,10,2022,43,False,False,True,11.0,11.666666666666666,0,2.6390573296152584
2022-11-06,10,10,16,25,75,49,35,28,39,11,2022,44,False,False,True,13.0,11.333333333333334,0,2.3978952727983707
2022-11-13,12,11,16,34,74,52,40,31,39,11,2022,45,False,False,True,10.0,11.666666666666666,0,2.5649493574615367
2022-11-20,14,10,19,35,92,54,45,36,48,11,2022,46,False,False,True,12.0,12.0,0,2.70805020110221
2022-11-27,14,12,18,29,75,49,41,32,42,11,2022,47,False,False,True,14.0,13.333333333333334,0,2.70805020110221
2022-12-04,13,10,14,29,70,52,38,36,47,12,2022,48,False,False,False,14.0,13.666666666666666,0,2.6390573296152584
2022-12-11,12,13,16,32,67,53,41,38,54,12,2022,49,False,False,False,13.0,13.0,0,2.5649493574615367
2022-12-18,13,13,15,33,67,61,42,43,54,12,2022,50,False,False,False,12.0,12.666666666666666,0,2.6390573296152584
2022-12-25,15,19,34,33,74,53,40,59,59,12,2022,51,False,False,False,13.0,13.333333333333334,0,2.772588722239781
2023-01-01,16,15,23,35,72,52,33,30,57,1,2023,52,False,False,False,15.0,14.666666666666666,0,2.833213344056216
2023-01-08,15,13,22,24,68,50,28,26,47,1,2023,1,False,False,False,16.0,15.333333333333334,0,2.772588722239781
2023-01-15,13,12,23,29,70,54,26,23,43,1,2023,2,False,False,False,15.0,14.666666666666666,0,2.6390573296152584
2023-01-22,14,13,23,24,72,49,26,22,49,1,2023,3,False,False,False,13.0,14.0,0,2.70805020110221
2023-01-29,12,12,19,29,73,49,24,22,48,1,2023,4,False,False,False,14.0,13.0,0,2.5649493574615367
2023-02-05,14,12,19,31,69,49,25,20,47,2,2023,5,False,False,False,12.0,13.333333333333334,0,2.70805020110221
2023-02-12,14,12,12,30,70,50,24,19,47,2,2023,6,False,False,False,14.0,13.333333333333334,0,2.70805020110221
2023-02-19,13,10,20,30,62,50,24,20,49,2,2023,7,False,False,False,14.0,13.666666666666666,0,2.6390573296152584
2023-02-26,15,14,22,26,62,50,25,20,48,2,2023,8,False,False,False,13.0,14.0,0,2.772588722239781
2023-03-05,15,14,21,28,61,49,23,20,43,3,2023,9,True,False,False,15.0,14.333333333333334,0,2.772588722239781
2023-03-12,13,12,21,23,59,47,21,21,51,3,2023,10,True,False,False,15.0,14.333333333333334,0,2.6390573296152584
2023-03-19,13,12,18,68,60,47,20,21,43,3,2023,11,True,False,False,13.0,13.666666666666666,0,2.6390573296152584
2023-03-26,16,11,14,32,58,47,20,30,52,3,2023,12,True,False,False,13.0,14.0,0,2.833213344056216
2023-04-02,13,10,24,27,62,51,20,28,57,4,2023,13,True,False,False,16.0,14.0,0,2.6390573296152584
2023-04-09,14,9,19,29,60,47,21,26,61,4,2023,14,True,False,False,13.0,14.333333333333334,0,2.70805020110221
2023-04-16,11,12,19,27,59,44,21,27,48,4,2023,15,True,False,False,14.0,12.666666666666666,0,2.4849066497880004
2023-04-23,15,11,18,33,58,43,22,24,49,4,2023,16,True,False,False,11.0,13.333333333333334,0,2.772588722239781
2023-04-30,10,12,17,24,56,45,22,24,49,4,2023,17,True,False,False,15.0,12.0,0,2.3978952727983707
2023-05-07,13,12,13,28,55,45,21,24,44,5,2023,18,True,False,False,10.0,12.666666666666666,0,2.6390573296152584
2023-05-14,11,11,20,25,57,41,19,23,37,5,2023,19,True,False,False,13.0,11.333333333333334,0,2.4849066497880004
2023-05-21,12,10,20,24,55,44,20,25,38,5,2023,20,True,False,False,11.0,12.0,0,2.5649493574615367
2023-05-28,12,12,22,24,58,43,21,23,43,5,2023,21,True,False,False,12.0,11.666666666666666,0,2.5649493574615367
2023-06-04,12,11,23,24,60,42,21,22,36,6,2023,22,False,True,False,12.0,12.0,0,2.5649493574615367
2023-06-11,9,10,18,21,54,43,21,22,39,6,2023,23,False,True,False,12.0,11.0,0,2.302585092994046
2023-06-18,12,9,18,19,56,45,21,22,40,6,2023,24,False,True,False,9.0,11.0,0,2.5649493574615367
2023-06-25,9,11,16,20,57,46,20,25,46,6,2023,25,False,True,False,12.0,10.0,0,2.302585092994046
2023-07-02,10,10,17,25,59,46,22,26,43,7,2023,26,False,True,False,9.0,10.333333333333334,0,2.3978952727983707
2023-07-09,13,12,23,32,53,46,21,25,45,7,2023,27,False,True,False,10.0,10.666666666666666,0,2.6390573296152584
2023-07-16,11,11,19,25,57,45,21,24,46,7,2023,28,False,True,False,13.0,11.333333333333334,0,2.4849066497880004
2023-07-23,13,11,24,29,56,47,23,26,42,7,2023,29,False,True,False,11.0,12.333333333333334,0,2.6390573296152584
2023-07-30,9,9,21,25,57,47,22,28,47,7,2023,30,False,True,False,13.0,11.0,0,2.302585092994046
2023-08-06,12,8,24,23,53,47,21,30,40,8,2023,31,False,True,False,9.0,11.333333333333334,0,2.5649493574615367
2023-08-13,11,10,21,21,54,45,21,29,40,8,2023,32,False,True,False,12.0,10.666666666666666,0,2.4849066497880004
2023-08-20,10,10,23,18,54,44,21,28,39,8,2023,33,False,True,False,11.0,11.0,0,2.3978952727983707
2023-08-27,9,10,26,22,55,44,23,29,41,8,2023,34,False,True,False,10.0,10.0,0,2.302585092994046
2023-09-03,12,10,21,22,55,43,22,27,38,9,2023,35,False,False,True,9.0,10.333333333333334,0,2.5649493574615367
2023-09-10,11,8,20,23,53,42,21,26,47,9,2023,36,False,False,True,12.0,10.666666666666666,0,2.4849066497880004
2023-09-17,13,13,27,24,56,43,21,29,37,9,2023,37,False,False,True,11.0,12.0,0,2.6390573296152584
2023-09-24,14,12,23,22,56,42,24,30,43,9,2023,38,False,False,True,13.0,12.666666666666666,0,2.70805020110221
2023-10-01,13,10,22,23,53,43,24,31,42,10,2023,39,False,False,True,14.0,13.333333333333334,0,2.6390573296152584
2023-10-08,13,10,17,26,58,43,23,36,41,10,2023,40,False,False,True,13.0,13.333333333333334,0,2.6390573296152584
2023-10-15,10,10,19,24,56,43,24,33,45,10,2023,41,False,False,True,13.0,12.0,0,2.3978952727983707
2023-10-22,11,12,21,21,59,43,26,31,51,10,2023,42,False,False,True,10.0,11.333333333333334,0,2.4849066497880004
2023-10-29,16,12,19,23,55,44,26,32,59,10,2023,43,False,False,True,11.0,12.333333333333334,0,2.833213344056216
2023-11-05,11,11,16,21,66,44,31,39,69,11,2023,44,False,False,True,16.0,12.666666666666666,0,2.4849066497880004
2023-11-12,13,9,21,31,64,46,35,41,63,11,2023,45,False,False,True,11.0,13.333333333333334,0,2.6390573296152584
2023-11-19,16,12,25,31,83,48,40,48,74,11,2023,46,False,False,True,13.0,13.333333333333334,0,2.833213344056216
2023-11-26,15,16,31,28,74,45,37,47,84,11,2023,47,False,False,True,16.0,14.666666666666666,0,2.772588722239781
2023-12-03,14,12,25,30,68,48,36,52,88,12,2023,48,False,False,False,15.0,15.0,0,2.70805020110221
2023-12-10,14,11,20,31,67,48,36,48,80,12,2023,49,False,False,False,14.0,14.333333333333334,0,2.70805020110221
2023-12-17,9,12,20,25,64,57,41,51,72,12,2023,50,False,False,False,14.0,12.333333333333334,0,2.302585092994046
2023-12-24,14,13,23,22,65,49,37,66,100,12,2023,51,False,False,False,9.0,12.333333333333334,0,2.70805020110221
2023-12-31,14,13,28,31,64,57,27,37,70,12,2023,52,False,False,False,14.0,12.333333333333334,0,2.70805020110221
2024-01-07,13,11,26,30,62,53,28,34,63,1,2024,1,False,False,False,14.0,13.666666666666666,0,2.6390573296152584
2024-01-14,13,11,24,26,64,49,24,29,59,1,2024,2,False,False,False,13.0,13.333333333333334,0,2.6390573296152584
2024-01-21,13,9,24,28,62,50,24,27,56,1,2024,3,False,False,False,13.0,13.0,0,2.6390573296152584
2024-01-28,13,11,23,26,64,47,24,31,54,1,2024,4,False,False,False,13.0,13.0,0,2.6390573296152584
2024-02-04,11,10,18,24,64,51,24,29,52,2,2024,5,False,False,False,13.0,12.333333333333334,0,2.4849066497880004
2024-02-11,14,9,20,26,61,48,48,33,65,2,2024,6,False,False,False,11.0,12.666666666666666,0,2.70805020110221
2024-02-18,13,11,21,25,60,47,38,26,55,2,2024,7,False,False,False,14.0,12.666666666666666,0,2.6390573296152584
2024-02-25,9,9,24,21,62,46,37,27,47,2,2024,8,False,False,False,13.0,12.0,0,2.302585092994046
2024-03-03,12,10,22,22,59,44,34,26,47,3,2024,9,True,False,False,9.0,11.333333333333334,0,2.5649493574615367
2024-03-10,13,10,21,26,58,46,32,26,44,3,2024,10,True,False,False,12.0,11.333333333333334,0,2.6390573296152584
2024-03-17,14,9,19,24,58,47,24,29,49,3,2024,11,True,False,False,13.0,13.0,0,2.70805020110221
2024-03-24,17,8,20,29,60,52,22,30,50,3,2024,12,True,False,False,14.0,14.666666666666666,0,2.8903717578961645
2024-03-31,11,9,15,27,58,44,23,28,49,3,2024,13,True,False,False,17.0,14.0,0,2.4849066497880004
2024-04-07,14,8,17,25,59,44,22,25,51,4,2024,14,True,False,False,11.0,14.0,0,2.70805020110221
2024-04-14,12,11,23,29,57,45,22,25,51,4,2024,15,True,False,False,14.0,12.333333333333334,0,2.5649493574615367
2024-04-21,10,10,20,21,56,44,25,27,41,4,2024,16,True,False,False,12.0,12.0,0,2.3978952727983707
